2025-08-28T20:29:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=27": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:30:09-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=28": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:31:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=29": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:32:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=30": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:33:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=31": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:34:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=32": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:35:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=33": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:36:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=34": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:37:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=35": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:38:08-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=36": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:39:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=37": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
